text,reason,label
this is an amazing app for online classes!but,good app for conducting online classes,1
very practical and easy to use,app is user-friendly,1
this app is very good for video conferencing.,good for video conferencing,1
i can not download this zoom app,unable to download zoom app,1
i am not able to download this app,want to download the app,1
zoom is not working properly,app is not working,1
zoom is an excellent meeting app.,good app for conducting online meeting,1
i am not getting the virtual background option in the settings,unable to switch virtual background,1
video quality is very poor,video quality is poor,1
i am unable to sign-in,want to login,1
zoom does not update me anymore,want to update zoom app,1
the app does not install,unable to install,1
best app for video calling and office meeting and online classes,good app for conducting online classes and meetings,1
i can not connect to my meeting.,want to connect to meetings,1
my audio is not working please fix this problem,sound stopped working,1
use google meet instead.,google meet is better,1
i found a problem it sometimes would not work password,receiving incorrect password message,1
will not let me sign up.,want to sign up,1
zoom is a very very bad app because there are,poor quality of the application,1
i can not edit my profile picture,want to add profile picture,1
"because of this, i can not sign in to zoom.",unable to login,1
will not let me even install it,want to install,1
this app will help me to study in lockdown,good app for students,1
it is nice and good but am having some network issues with this app,facing network issues with app,1
i can not join my class right now.,want to connect to classes,1
zoom would not let me connect,want to connect to zoom,1
the sound is bad.,audio quality is bad,1
please add ukrainian language support.,want ukrainian language support,1
please fix the audio connect issue,want to connect to audio device,1
this app is not opening.,want to start application,1
my microphone is not working.,want to use microphone,1
I would like you to be able to set the background on android,want to put background on android phone,1
let us just admit that skype is better.,skype is better,1
best cloud meeting app,good app for cloud meetings,1
this is worst app this has a lot network issue does not work well,facing network connection issues,1
i can not join my zoom meeting please check my problem,unable to attend zoom meetings,1
i can not install the app in my phone,unable to download the app,1
i can not change my background when I am using my phone,unable to set virtual background on mobie,1
I am trying to register - an error.,want to register,1
it takes a long time to install,installing process is time consuming,1
it is great for making video calls,good app for conducting video calls,1
i can not open my zoom,want to use the app,1
"""you are not eligible to sign up for zoom at this time""",receiving not eligible for zoom message,1
the application crashes frequently.,app crashes frequently,1
it takes too long to get updated!,updating app is time consuming,1
very bad app i can not even sign in,unable to sign up,1
best app for meetings & webinar,good app for conducting webinars,1
then it does not let meetings in and it comes out that the password is incorrect,receiving incorrect meeting passcode message,1
worst app .. can not join a meeting .,want to enter meetings,1
why is there no background settings on android?,android version needs virtual background,1
you can not register on zoom,unable to register in zoom,1
very good working tool,good app for work,1
add background feature for some mobile,unable to change background on iphone,1
"i uninstalled it and tried to install it again, but i could not.",want to reinstall the app,1
"lately, my audio will not play through my headphones connected via bluetooth.",bluetooth headphones are not working,1
how can i update the zoom app?,want to update the app,1
easy to find and install,app is easy to install,1
i can not create meetings,want to create meetings,1
excellent app helps to connect people,good app for connecting with people,1
"the app is very bad, it is not convenient to use",app is not easy to use,1
it says passcode incorrect,receiving incorrect passcode message,1
i can not hear the voice,unable to hear sound,1
"the picture quality is good, and the sound is very good",good for visual and hearing quality,1
i can not open an account.,want to open account,1
very very good zoomapp,app is good,1
this app does not show background,unable to see virtual background,1
sometimes my connection drops and restarts the meeting,meeting gets disconnected,1
"but when i go back to zoom, there is sound",facing issues with audio,1
it was good before the last update but now has become worst everytime,recent update is bad,1
"just one issue, high data consumption",data consumption is high,1
i give it a star because there are times when the app will not let me send messages,messaging function is not working,1
great way to connect!,good for connectivity,1
